dict	key_norm	class	confidence	alt_form	alt_body_count	body_count	expansion	sources	notes
MW72	- Pāṇ.	spacing	high	Pāṇ.	723	0	Pāṇini.	mw72pref24.md:118	alt='Pāṇ.' body_n=723
MW72	- Sax.	spacing	high	Sax.	369	0	Saxon.	mw72pref24.md:145	alt='Sax.' body_n=369
MW72	- Say.	spacing	high	Say.	2373	0	Sāyaṇa or according to Sāyaṇa.	mw72pref24.md:146	alt='Say.' body_n=2373
MW72	- Ved.	spacing	high	Ved.	11989	0	Vedic or Veda.	mw72pref24.md:161	alt='Ved.' body_n=11989
MW72	- adj.	spacing	high	adj.	207	0	adjective.	mw72pref24.md:19	alt='adj.' body_n=207
MW72	- alg.	spacing	med	alg.	3	0	algebra.	mw72pref24.md:21	alt='alg.' body_n=3
MW72	- e.g.	true_unused	low		0	0	exempli gratiā.	mw72pref24.md:60	no_alt_hit
MW72	- esp.	spacing	med	esp.	1	0	especially.	mw72pref24.md:64	alt='esp.' body_n=1
MW72	- i.e.	spacing	med	i.e.	1	0	id est.	mw72pref24.md:82	alt='i.e.' body_n=1
MW72	- ind.	spacing	high	ind.	4502	0	indeclinable, either an indeclinable participle or an adverb or a case used adverbially.	mw72pref24.md:86	alt='ind.' body_n=4502
MW72	- neg.	spacing	med	neg.	2	0	negative.	mw72pref24.md:109	alt='neg.' body_n=2
MW72	- obs.	spacing	high	obs.	8	0	obsolete.	mw72pref24.md:113	alt='obs.' body_n=8
MW72	- q.v.	true_unused	low		0	0	quod vide.	mw72pref24.md:135	no_alt_hit
MW72	- usu.	spacing	med	usu.	3	0	usually.	mw72pref24.md:158	alt='usu.' body_n=3
MW72	- Æol.	spacing	high	Æol.	12	0	Æolic.	mw72pref24.md:20	alt='Æol.' body_n=12
MW72	- &c.	spacing	high	&c.	6977	0	et cetera.	mw72pref24.md:166	alt='&c.' body_n=6977
MW72	- Br.	spacing	high	Br.	32	0	Brāhmaṇa.	mw72pref24.md:36	alt='Br.' body_n=32
MW72	- Gr.	spacing	high	Gr.	889	0	Greek.	mw72pref24.md:76	alt='Gr.' body_n=889
MW72	- Pp.	spacing	high	Pp.	17	0	parvan or section of the Mahā-bhārata.	mw72pref24.md:117	alt='Pp.' body_n=17
MW72	- Pr.	spacing	high	Pr.	5	0	proper.	mw72pref24.md:129	alt='Pr.' body_n=5
MW72	- cf.	spacing	high	cf.	9307	0	confer, compare.	mw72pref24.md:42	alt='cf.' body_n=9307
MW72	- cl.	spacing	high	cl.	6861	0	class.	mw72pref24.md:44	alt='cl.' body_n=6861
MW72	- du.	spacing	high	du.	549	0	dual number.	mw72pref24.md:58	alt='du.' body_n=549
MW72	- fr.	spacing	high	fr.	7660	0	from.	mw72pref24.md:68	alt='fr.' body_n=7660
MW72	- pl.	spacing	high	pl.	2227	0	plural number.	mw72pref24.md:126	alt='pl.' body_n=2227
MW72	singo	true_unused	low		0	0	(siñj).	mw72pref25.md:49	no_alt_hit
MW72	- A.	spacing	med	-A.	1	0	Ātmane-pada ; the long mark over the A. has been omitted for convenience in printing.	mw72pref24.md:14	alt='-A.' body_n=1
MW72	- N.	spacing	med	-N.	2	0	Name.	mw72pref24.md:106	alt='-N.' body_n=2
MW72	- P.	spacing	high	-P.	118	0	Parasmai-pada.	mw72pref24.md:116	alt='-P.' body_n=118
MW72	- c.	true_unused	low		0	0	case.	mw72pref24.md:39	no_alt_hit
MW72	- p.	spacing	high	-p.	118	0	page.	mw72pref24.md:115	alt='-p.' body_n=118
